ingredient,substitutes
red rice vinegar,"chinese black vinegar, cider vinegar, red wine vinegar"
red wine,"madeira, port, pomegranate molasses, cranberry juice, chicken broth, balsamic vinegar, currant syrup"
red wine vinegar,"balsamic vinegar, white wine vinegar, sherry vinegar, cider vinegar, rice vinegar"
retsina,metaxa
rhine wine,"riesling, gewurztraminer"
rhone wine,"syrah, red bordeaux wine, pinot noir, merlot, barbera, zinfandel, cabernet sauvignon"
rice paddy herb,cilantro
rice vinegar,white wine vinegar
rice wine,"dry vermouth, scotch whisky, white wine, sherry"
riesling,"johannisberg riesling, gewurztraminer, pinot blanc, chenin blanc"
rioja,"chianti, pinot noir, red burgundy wine"
rock salt,"kosher salt, table salt"
rocoto sauce,"red chile sauce, salsa verde"
romeritos,"nopalitos, purslane"
rose essence,"rose syrup, rose water, saffron"
rose syrup,"rose essence, rose water"
rose water,"orange flower water, rose syrup, rose essence, almond extract, kewra water"
rose's lime juice,lime juice
rosemary,"sage, savory, thyme, herbes de provence, oregano, bay leaf"
rum extract,"rum, orange extract"
saccarin,"acesulfame K, advantame, aspartame, sucralose, neotame"
safflower,"saffron, annatto seeds"
saffron,"turmeric, safflower, marigold blossom"
sage,"poultry seasoning, rosemary, thyme, bay leaf, herbes de provence"
sake,"shaoxing wine, dry vermouth, white wine, sherry"
salsa,"enchilada sauce, salsa verde"
salsa verde,"chile verde sauce, enchilada sauce, taco sauce, recaito"
salt,"lemon zest, pepper, soy sauce, hatcho miso, salt substitute, marinades, kelp powder"
salt substitue,salt
sambal bajak,"chili garlic sauce, chili sauce"
sambal manis,"sambal oelek, soy sauce"
sambal oelek,"chile paste, harissa, hot pepper sauce, red pepper flakes, chili powder"
sangiovese,"chianti, zinfandel, cabernet sauvignon, merlot"
satay sauce,"sesame paste, almond paste"
sate sauce,sriracha
sauternes,dessert wine
sauvignon blanc,"chardonnay, pinot blanc, chablis, muscadet, gewurztraminer"
savory,"winter savory, summer savory, thyme"
screwpine leaf,vanilla extract
sea salt,"kosher salt, table salt"
semi-sweet chocolate,"bittersweet chocolate, peanut butter chips, white chocolate, milk chocolate"
semillon,"sauternes, muscat"
sesame butter,"sesame paste, peanut butter"
sesame leaf,romaine lettuce
sesame paste,"sesame butter, sesame seed, sesame oil, peanut butter"
sesame seed,pumpkin seeds
shaoxing wine,"sake, sherry"
sherry,"port, madeira, mirin, white wine, dry vermouth, muscat, vanilla extract, coffee"
sherry vinegar,"balsamic vinegar, rice vinegar"
shichimi togarashi,nanami togarashi
shiso,mint
shrimp paste,anchovy paste
silken tofu,"soft tofu, sour cream, mayonnaise, yogurt"
snowflakes,sprinkles
sorghum molasses,"golden syrup, molasses"
soy sauce,"tamari, maggi's seasoning sauce, kecap manis, worcestershire sauce"
spanish brandy,"cognac, armagnac"
sparkling sugar,"jimmies, nonpareils"
sparkling wine,"sparkling grape juice, chardonnay, chablis"
spearmint,yerba buena
spike,"seasoned salt, parsley"
sprinkles,"nonpareils, dragees, snowflakes, jimmies"
spumante,sparkling wine
spun honey,"liquid honey, spun honey"
squash seeds,"pumpkin seeds, sesame seed, sunflower seeds"
sriracha,tabasco sauce
star anise,"chinese five-spice powder, anise extract"
strawberry preserves,"raspberry preserves, apricot jam"
sucanat,"sugar, dark brown sugar, turbinado sugar"
sucralose,"acesulfame K, advantame, aspartame, saccarin, neotame"
sugar,"turbinado sugar, date sugar, sucanat, light brown sugar, powdered sugar, fructose, artficial sweeteners, maple syrup, barley malt syrup, corn syrup, brown rice syrup, fruit juices"
sugar cubes,"sugar, zucker hut"
sumac berries,"lemon juice, vinegar"
summer savory,"savory, winter savory, thyme"
sunflower butter,sesame paste
sunflower seeds,"pumpkin seeds, peanut, pine nut"
swedish light syrup,golden syrup
sweet and sour sauce,plum sauce
sweet asian basil,"holy basil, basil"
sweet basil,"sweet asian basil, oregano, thyme, tarragon, summer savory, mint, cilantro"
sweet bean sauce,hoisin sauce
sweet chocolate,"semi-sweet chocolate, bittersweet chocolate"
sweet vermouth,"dry vermouth, punt e mes, sherry, white wine, madeira, white grape juice, sake"
artifical sweeteners,"acesulfame K, advantame, aspartame, saccarin, sucralose"
syrah,"zinfandel, red bordeaux wine, pinot noir, merlot, barbera, cabernet sauvignon"
szechwan peppercorn,"lemon pepper, black pepper"
table salt,"kosher salt, sea salt"
table wine,"red wine, white wine, blush wine"
taco sauce,enchilada sauce
tamari,soy sauce
tamarind juice,lime juice
tamarind paste,"lime juice, lemon juice"
tapenade,olive butter
tarragon,"dill leaf, basil, marjoram, chervil, parsley, angelica, fennel seed, anise seed"
thai basil,"basil, mint"
thai sweet soy sauce,"maggi's seasoning sauce, mushroom soy sauce, dark soy sauce"
thyme,"herbes de provence, poultry seasoning, italian seasoning, savory, marjoram, oregano, sage, rosemary"
tia to,"shiso, sweet asian basil"
togarashi,"ground cayenne pepper, red chile powder"
tomato paste,"tomato sauce, canned tomatoes, tomato puree, ketchup"
tomato puree,tomato sauce
tomato sauce,tomato puree
canned tomatoes,tomato paste
treacle,molasses
truffle oil,truffles
turbinado sugar,"demerara sugar, light brown sugar, raw sugar"
turmeric,"ground turmeric, saffron, annatto seeds, curry powder, garlic powder, onion powder, zahter"
ground turmeric,mustard powder
umeboshi plums,salt
umeboshi puree,"sea salt, miso, soy sauce"
urfa biber,chipotle pepper
v8 juice,tomato juice
vanilla bean,vanilla extract
vanilla essence,"vanilla extract, almond extract, maple syrup"
imitation vanilla extract,"vanilla extract, vanilla powder"
vanilla powder,"vanilla extract, imitation vanilla extract"
instant vanilla pudding mix,custard powder
verjus,"lemon juice, white wine vinegar"
vermouth,"omit, punt e mes, sherry, dry white wine, madeira, white grape juice, sake"
viognier,johannisberg riesling
vouvray,chenin blanc
wasabi,prepared horseradish
wasabi cream sauce,"prepared horseradish, dijon mustard"
wasabi powder,"horseradish, mustard powder"
watermelon seeds,"pumpkin seeds, sunflower seeds"
white chocolate,milk chocolate
white chocolate chips,"white chocolate, chocolate chips, carob chips"
white pepper,black pepper
white poppy seeds,poppy seeds
white rice vinegar,"champagne vinegar, seasoned rice vinegar, white wine vinegar"
white vinegar,"malt vinegar, cider vinegar"
white wine,"dry vermouth, blush wine, sake, sparkling wine, sherry, mirin, grape juice, apple juice, apple cider, clam juice, water"
white wine vinegar,"red wine vinegar, champagne vinegar, rice vinegar, cider vinegar"
whole-grain mustard,"dijon mustard, creole mustard"
wine essence,wine
wine vinegar,"cider vinegar, rice vinegar, malt vinegar"
winter savory,"summer savory, thyme"
wintergreen oil,peppermint oil
worcestershire sauce,"fish sauce, soy sauce"
xo sauce,sate sauce
yellow chinese chives,chinese chives
yellow curry paste,red curry paste
yellow mustard seeds,"mustard powder, brown mustard seeds, black mustard seeds"
yerba buena,spearmint
zahter,"turmeric, garlic powder"
zucker hut,sugar cubes
ababai,"papaya, mango"
acerola,cherry
ackee,"avocado, chickpea, almond"
acorn squash,"buttercup squash, butternut squash, banana squash, turban squash, hubbard squash, pumpkin, green papaya, golden nugget squash"
dried aji panca chili,pasilla chili
ajwa dates,"dates, raisins, dried fig"
alphonso olives,"kalamata olives, gaeta olives"
ambrosia apple,"honeycrisp apples, fuji apple, pink lady apple"
ambrosia melon,cantaloupe
american eggplant,"italian eggplant, japanese eggplant"
amphissa olives,"kalamata olives, gaeta olives"
anaheim chili,"new mexico green chili, poblano pepper, green chile canned"
ancho chili,"mulato chili, pasilla chili, poblano pepper, california chili, new mexico red chili"
angled loofa,"zucchini, cucumber"
anjou pear,"asian pear, bartlett pear"
apple butter,applesauce
apple cider,apple juice
apple jelly,"black currant jelly, grape jelly, apple juice"
apple juice,apple cider
applesauce,"apple butter, pumpkin puree, plum puree"
apricot,"aprium, pluot, peach, nectarine"
apricot jam,"peach jam, plum puree"
aprium,"pluot, apricot, plum"
arauco olives,manzanilla olives
arbequina olives,manzanilla olives
armenian cucumber,english cucumber
asam keping,"tamarind paste, tamarind"
asain eggplants,"eggplants, japanese eggplant, chinese eggplant, zucchini"
asain pear,"bosc pear, apple, quince"
atalanta olives,royal olives
atemoya,"cherimoya, sweetsop, mango"
autumn royal grapes,"flame seedless grapes, red globe grapes"
baby kiwifruit,grapes
bacon avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
banana,"plantain, mango"
banana pepper,"bell pepper, yellow wax pepper"
banana squash,"butternut squash, buttercup squash, acorn squash, hubbard squash, pumpkin"
barhi dates,dates
bartlett pear,"asian pear, anjou pear, quince, comice pear"
bell pepper,"holland bell pepper, cubanelle, poblano pepper, anaheim chili, pimento"
bergamot orange,lime
bilberry,"juneberry, blueberry, huckleberry, cranberry, currant"
bilimbi,star fruit
bitter melon,winter melon
black currant,"elderberry, blueberry, red currant, gooseberry"
black currant jelly,"muscadine jelly, grape jelly"
black olives,green olives
blackberry,"loganberry, boysenberry, mulberry, raspberry, youngberry, olallieberry, dwberry, red currant"
blood orange,"orange, mandarin orange"
blueberry,"huckleberry, juneberry, red currant, raisins, dates, banana"
blueberry jam,"raspberry preserves, gooseberry preserves"
bosc pear,asian pear
boysenberry,"loganberry, blackberry, raspberry, olallieberry, dewberry, youngberry"
braeburn apple,"honeycrisp apples, golden delicious apple"
breadfruit,"jackfruit, plantain, potato"
buddha's hand citron,"citron, lemon"
bull's horn pepper,bell pepper
buttercup squash,"butternut squash, acorn squash, hubbard squash, delicata squash, kabocha squash, pumpkin, green papaya"
buttternut squash,"buttercup squash, acorn squash, calabaza, delicata squash, kabocha squash, hubbard squash, green papaya"
cachucah pepper,bell pepper
calabaza,"butternut squash, buttercup squash, hubbard squash, acorn squash"
calamondin,"kumquat, kalamansi"
calamondin juice,"kalamansi juice, key lime juice"
california chili,"new mexico red chili, anaheim chili"
cameo apple,red delicious apple
canary melon,"honeydew melon, cantaloupe"
candied angelica,marzipan
candied chestnuts,chestnut cream
candied fruit,dried apricot
candied ginger,ginger jam
canistel,"sapote, mamey sapote, sapodilla, cherimoya, persimmon, yam"
cantaloupe,"cranshaw melon, honeydew melon, persian melon"
cape gooseberry,"tomatillo, gooseberry, cherry tomato"
capulin cherry,sweet cherry
carissa,"cranberry, raspberry"
casaba melon,"santa claus melon, cranshaw melon, spanish melon, sharlyn melon, cantaloupe"
dried cascabel pepper,"guajillo chili, pequin pepper dried, tepin dried, cayenne pepper dried"
cashew apple,mango
fresh cayenne pepper,"chile de arbol dried, thai chili pepper fresh, habanero fresh, jalapeno pepper, serrano pepper, cascabel pepper dried, pequin pepper dried, tepin dried, holland chili, cherry pepper"
dried cayenne pepper,"chile de arbol dried, guajillo chili"
cerignola olives,"lucque olives, picholine olives"
charantais melon,"honeydew melon, cantaloupe"
chayote,"zucchini, kohirabi, summer squash, carrot, bell pepper"
cherimoya,"atemoya, sweetsop"
cherry,stone fruit
cherry pepper,"cayenne pepper - fresh, pepperoncini"
cherry tomato,"teardrop tomato, slicing tomato"
chilaca pepper,"poblano pepper, pasilla chili"
chile de arbol dried,"cayenne pepper dried, pequin pepper dried"
chinese dates dried,"dates, dried apple, prune, raisins"
chinese dates fresh,"apple, prune"
chinese eggplant,"japanese eggplant, italian eggplant"
chipotle negro chile,chipotle pepper
chipotle pepper,"morita pepper, mora chili, ancho chili"
chokecherry,"sour cherry, cranberry"
citron,lemon
cloudberry,raspberry
cloudberry preserves,"loganberry jam, gooseberry preserves"
coconut,"brazil nut, macadamia nut"
comice pear,"anjou pear, bartlett pear, asian pear"
concord grapes,flame seedless grapes
cortland apple,"braeburn apple, fuji apple, honeycrisp apples, jonathan apple"
costeno amarillo,guajillo chili
cotton candy grapes,"thompson seedless grapes, flame seedless grapes"
cousa squash,zucchini
crab apple,quince
cranberry,"lingonberry, carissa, rhubarb"
cranberry juice,"grape juice, pineapple juice, pomegranate juice"
crane melon,cantaloupe
cranshaw melon,"casaba melon, persian melon, sharlyn melon, spanish melon, cantaloupe, honeydew melon"
crimson seedless grapes,"flame seedless grapes, thompson seedless grapes"
crystallized ginger,"candied ginger, ginger root, nuts"
cuaresmeno - fresh,"jalapeno pepper, serrano pepper"
cubanelle,bell pepper
cucuzza,"zucchini, yellow squash"
currant,"gooseberry, raspberry"
currant tomato,"cherry tomato, teardrop tomato, grape tomato"
currants,"raisins, golden raisin"
dates,"dried fig, raisins, fresh dates"
fresh dates,"fresh barhi dates, dates"
deglet noor dates,"dates, raisins, dried fig"
delicata squash,"butternut squash, buttercup squash, sweet potato"
dewberry,"youngberry, blackberry, raspberry, loganberry, boysenberry, olallieberry"
donut peach,peach
dragon fruit,"kiwi fruit, mangosteen"
dried apple,dried pear
dried apricot,"dried peach, dried nectarines, sun-dried tomatoes"
dried banana,dried fruit
dried cantaloupe,dried papaya
dried cherry,"dried cranberries, raisins, dried apricot, currants"
dried citrus peel,lemon zest
dried cranberries,"raisins, dried cherry, currants"
dried fig,"raisins, prune"
dried fruit,nuts
dried mango,dried papaya
dried nectarines,"dried peach, dried apricot"
dried papaya,"dried cantaloupe, dried mango"
dried peach,"dried nectarines, dried apricot"
dried pear,dried apple
dired persimmon,dried fruit
dried pineapple,"dried papaya, dried mango"
dried strawberries,dried cherry
eggplants,"zucchini, okra, portobello mushroom"
elderberry,"black currant, cranberry"
english cucumber,"japanese cucumber, garden cucumber"
feijoa,"kiwi fruit, pineapple, strawberry, guava"
fig,pear
fig preserves,kumquats in syrup
flame seedless grapes,"thompson seedless grapes, crimson seedless grapes"
fraises des bois,strawberry
fresno pepper,"jalapeno pepper, serrano pepper"
fuerte avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
fuji apple,"gala apple, golden delicious apple"
fuzzy melon,zucchini
gaeta olives,kalamata olives
gala apple,"fuji apple, golden delicious apple, granny smith apple, honeycrisp apples"
galia melon,"honeydew melon, cantaloupe"
garden cucumber,"english cucumber, japanese cucumber, armenian cucumber, lemon cucumber"
ginger jam,candied ginger
glace cherries,"dried cherry, dried cranberries"
globe squash,zucchini
golden delicious apple,"fuji apple, honeycrisp apples, gala apple"
golden delicious squash,hubbard squash
golden nugget squash,acorn squash
golden raisin,"raisins, muscat raisins, currants, dried apricot"
golden raspberry,raspberry
gooseberry,"rhubarb, kiwi fruit, currants"
gooseberry preserves,"cloudberry preserves, loganberry jam, strawberry preserves"
granny smith apple,quince
grape jelly,"muscadine jelly, red currant jelly"
grape tomato,"teardrop tomato, currant tomato, cherry tomato"
grapefruit,"ugli fruit, pomelo, tangelo"
grapefruit juice,"orange juice, pineapple juice"
grapes,"kiwi fruit, blueberry"
grated coconut,nuts
gravenstein apple,"braeburn apple, gala apple"
greek green olives,nafplion green olives
green chile canned,"anaheim chili, poblano pepper"
green olives,"black olives, caper berry, cocktail onion"
green papaya,chayote
green tomato,"tomatillo, bell pepper, slicing tomato"
guajillo chili,"ancho chili, new mexico red chili, pasilla chili, cascabel pepper - dried, mirasol pepper, california chili"
guava,"pineapple, strawberry"
guero pepper,"jalapeno pepper, fresno pepper, serrano pepper"
habanero - dried,chile de arbol dried
habanero - fresh,"scotch bonnet chhili, manzana chili, cayenne pepper - fresh, jalapeno pepper, serrano pepper"
halawi dates,"dates, raisins"
hass avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
holland bell pepper,bell pepper
holland chili,"cayenne pepper - fresh, fresno pepper"
holland eggplant,"italian eggplant, chinese eggplant, zucchini, eggplants"
honeyball melon,"honeydew melon, cantaloupe"
honeycrisp apples,"fuji apple, golden delicious apple, braeburn apple"
honeydew melon,"cantaloupe, cranshaw melon"
hubbard squash,"pumpkin, golden delicious squash, buttercup squash, butternut squash, banana squash, green papaya"
huckleberry,"blueberry, bilberry"
illama,"sweetsop, cherimoya"
indian bitter melon,bitter melon
indian eggplant,japanese eggplant
italian eggplant,american eggplant
jaboticaba,grapes
jackfruit,breadfruit
jalapeno pepper,"cuaresmeno - fresh, fresno pepper, guero pepper, melegueta pepper, serrano pepper, yellow wax pepper, cayenne pepper - fresh"
japanese chili,chile de arbol dried
japanese cucumber,english cucumber
japanese eggplant,"chinese eggplant, italian eggplant"
jonagold apple,"jonathan apple, mcintosh apple"
jonathan apple,mcintosh apple
juneberry,"blueberry, huckleberry"
kabocha squash,"butternut squash, acorn squash, turban squash"
kabosu,lime
kadota fig,"fig, dried fig"
kaffir lime,"citron, lime, kaffir lime leaf"
kalamansi,"calamondin, lemon, mandarin orange"
kalamansi juice,"key lime juice, calamondin juice, lemon juice"
kalamata olives,"gaeta olives, amphissa olives"
key lime,lime
key lime juice,"lime juice, passion fruit juice, calamondin juice, rose's lime juice"
khalas dates,"dates, raisins, dried fig"
kimia dates,"dates, raisins"
kirby cucumber,english cucumber
kiwano,cucumber
kiwi fruit,"gooseberry, strawberry, papaya, pear"
kokum,tamarind paste
kumquat,"limequat, calamondin, seville orange"
kumquats in syrup,fig preserves
kura olives,nafplion green olives
lamuyo pepper,bell pepper
lemon,"grapefruit, lime, citron, lemongrass"
lemon cucumber,"garden cucumber, cucumber"
lemon juice,"lime juice, key lime juice, malt vinegar"
lemon marmalade,orange marmalade
lemon zest,"lemon peel dried, lemon juice"
lighter bake,pureed prunes
ligurian olives,nicoise olives
lime,"lemon, kalamansi"
lime juice,"key lime juice, lemon juice"
lime zest,"lime juice, lemon zest"
limequat,kumquat
lingonberry,"cranberry, red currant"
litchi,"rambutan, longan, grapes"
litchi nut,"prune, cashew"
loganberry,"raspberry, blackberry, boysenberry, olallieberry, youngberry, dewberry"
loganberry jam,"raspberry preserves, gooseberry preserves, cloudberry preserves"
longan,litchi
loquat,"sour cherry, quince, mango, plum, apple, pear"
lucque olives,"picholine olives, cerignola olives"
mabolo,peach
macoun apple,"jonathan apple, mcintosh apple"
mamey sapote,"white sapote, sapote"
mandarin orange,orange
mandarain orange juice,orange juice
mango,"peach, nectarine, papaya"
mangosteen,"strawberry, mango"
manzana chili,"habanero - fresh, scotch bonnet chili"
manzanilla olives,caper berry
maraschino cherry,cherry flavoring
marionberry,blackberry
mcintosh apple,cortland apple
mediterranean cucumber,cucumber
medjool dates,"dates, dried fig, raisins"
mexican avocado,"avocado, mexicola avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
mexicola avocado,"mexican avocado, avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
meyer lemon,lemon
mint-flavored apple jelly,mint sauce
mirasol pepper,"hontaka pepper - fresh, serrano pepper"
mission olives,kalamata olives
monstera,"banana, pineapple"
moon drop grapes,"flame seedless grapes, crimson seedless grapes"
mora chili,"chipotle pepper, morita pepper, jalapeno pepper"
morita pepper,"chipotle pepper, mora chili, jalapeno pepper"
moroccan green olives,green olives
moya,mango
mulato chili,"ancho chili, poblano pepper"
mulberry,blackberry
muscadine jelly,"grape jelly, red currant jelly"
muscat raisins,"raisins, golden raisin, dates"
nafplion green olives,greek green olives
nectarine,"peach, apricot"
new mexico green chili,anaheim chili
new mexico red chili,"california chili, ancho chili"
nicoise olives,"kalamata olives, gaeta olives"
ogen melon,"honeydew melon, cantaloupe"
olallieberry,"loganberry, youngberry, raspberry, boysenberry, dewberry, blackberry"
olives,"cocktail onion, onion flakes, sun-dried tomatoes, capers"
opo squash,"zucchini, yellow squash"
orange,"blood orange, mandarin orange, kumquat, ugli fruit, grapefruit, pomelo"
orange juice,"grapefruit juice, pineapple juice"
orange marmalade,lemon marmalade
otaheite gooseberry,gooseberry
papaya,"mango, peach, nectarine, cantaloupe, honeydew melon, kiwi fruit, tomato, pineapple"
pasilla chili,"chilaca pepper, ancho chili, mulato chili"
passion fruit,"guava, pineapple"
passion fruit juice,key lime juice
pattypan squash,"scallopini, zucchini, yellow squash"
pawpaw,"banana, cherimoya, sweetsop"
pea eggplants,thai eggplant
peach,"nectarine, apricot, papaya, mango"
peach jam,apricot jam
pepino,"tamarillo, pear, cantaloupe, prickly pear, papaya"
pequin pepper dried,"chile de arbol dried, tepin dried, cayenne pepper dried, cascabel pepper dried"
persian cucumber,japanese cucumber
persian melon,"cranshaw melon, sharlyn melon, cantaloupe"
persimmon,"plum, pumpkin"
picholine olives,"lucque olives, cergnola olives, green olives, caper berry, cocktail onion"
pimento,bell pepper
pineapple,papaya
pineapple juice,"grapefruit juice, orange juice"
pink lady apple,"golden delicious apple, fuji apple"
pinkerton avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
pippin apple,quince
piquant pepper - fresh,poblano pepper
piri piri pepper dried,melegueta pepper
pitomba,apricot
plantain,"banana, sweet potato, breadfruit, potato"
plum,"pluot, aprium, loquat, prune"
plum puree,"applesauce, lighter bake"
pluot,"apricot, plum"
poblano pepper,"anaheim chili, bell pepper, green chile canned, serrano pepper"
pome fruit,"bartlett pear, anjou pear, apple"
pomegranate,grenadine
pomegranate juice,"cranberry juice, pineapple juice"
pomelo,grapefruit
prickly pear,"pepino, watermelon"
prune,"raisins, dried fig"
pumpkin,"hubbard squash, calabaza, butternut squash, buttercup squash, acorn squash, sweet potato"
pumpkin puree,sweet potato
pureed prunes,"apple butter, lighter bake"
quince,"asian pear, crab apple, granny smith apple, pippin apple, rhode island greening"
raisins,"prune, dried cranberries, dried apricot, dates, dried cherry, chocolate chips, nuts, dried fig"
rambutan,"litchi, longan"
rangpur lime,mandarin orange
raspberry,"loganberry, strawberry, blackberry, boysenberry, olallieberry, youngberry, dewberry, thimbleberry, carissa"
raspberry preserves,"strawberry preserves, blueberry jam"
red anjou pear,red bartlett pear
red bartlett pear,"bartlett pear, red anjou pear, starkrimson pear"
red currant,"blueberry, black currant, white currant, gooseberry, cranberry, blackberry, red currant jelly"
red currant jelly,black currant jelly
red delicious apple,"golden delicious apple, gala apple, fuji apple, honeycrisp apples"
red globe grapes,"flame seedless grapes, thompson seedless grapes, autumn royal grapes"
reed avocado,"avocado, chayote, fresh peas, asparagus, broccoli, artichoke hearts"
rhode island greening,quince
rocotillo pepper,poblano pepper
rocoto chili,"manzana chili, habanero - fresh"
rome apple,"fuji apple, jonagold apple, honeycrisp apples"
rose apple,apple
rosella,cranberry
royal olives,"atalanta olives, kalamata olives"
santa claus melon,"honeydew melon, cantaloupe, casaba melon"
sapodilla,"pear, sapote, mamey sapote, canistel, cherimoya, persimmon, apricot"
sapote,"sapodilla, canistel, soursop, cherimoya, persimmon, plum, peach, mango"
sauce tomato,slicing tomato
scallopini,"pattypan squash, zucchini"
scotch bonnet chili,"habanero - fresh, serrano pepper, jalapeno pepper"
serrano pepper,"jalapeno pepper, fresno pepper, guero pepper"
sevillano olive,manzanilla olives
seville orange,"kumquat, orange"
sharlyn melon,"persian melon, cranshaw melon, spanish melon, cantaloupe"
sicillian olive,manzanilla olives
slicing tomato,"cherry tomato, vine tomato, beet"
snake gourd,"zucchini, summer squash"
sour cherry,"chokecherry, sweet cherry, loquat"
sour prunes,tamarind paste
soursop,cherimoya
spaghetti squash,"spaghetti, butternut squash, banana squash"
spanish melon,"cranshaw melon, casaba melon"
star apple,star fruit
starkrimson pear,"red bartlett pear, red anjou pear"
stone fruit,"cherry, peach, apricot, nectarine, plum"
strawberry,"raspberry, guava, kiwi fruit"
strawberry preserves,"raspberry preserves, apricot jam"
sukkary dates,"dates, raisins, dried fig"
summer squash,"eggplants, bok choy, cucumber, winter squash"
sun-dried tomatoes,tomato paste
sweet cherry,"sour cherry, sweet cherry"
sweet dumpling squash,"butternut squash, kabocha squash, acorn squash"
sweet gooseberry,gooseberry
sweetsop,"atemoya, cherimoya"
tamarillo,papaya
tamarind,"asam keping, lime juice, lemon juice, amchoor"
tamarind juice,lime juice
tangelo,"mandarin orange, grapefruit, orange"
tatume squash,zucchini
tayberry,blackberry
teardrop tomato,"cherry tomato, grape tomato"
tepin dried,"pequin pepper dried, cascabel pepper - dried, cayenne pepper dried"
thai chili pepper - fresh,"chile de arbol dried, cayenne pepper - fresh, jalapeno pepper, serrano pepper"
thai eggplant,pea eggplants
thimbleberry,raspberry
thompson seedless grapes,"flame seedless grapes, cotton candy grapes"
tinda,"summer squash, opo squash, zucchini, winter squash"
turban squash,"butternut squash, green papaya, acorn squash"
turkish green pepper,anaheim chili
ugli fruit,"grapefruit, orange"
urfa biber,chipotle pepper
v8 juice,tomato juice
vegetable marrow,zucchini
vine tomato,slicing tomato
watermelon,honeydew melon
white currant,red currant
white eggplant,"asian eggplants, eggplants, italian eggplant"
white sapote,sapote
winter melon,bitter melon
winter squash,summer squash
xcatic chili,"yellow wax pepper, guero pepper"
yellow melon,cantaloupe
yellow squash,"zucchini, pattypan squash"
yellow wax pepper,"banana pepper, guero pepper"
youngberry,"blackberry, olallieberry, loganberry, raspberry, dewberry, boysenberry"
zante grapes,"flame seedless grapes, grapes, black currant"
zucchini,"yellow squash, pattypan squash, chayote, eggplants, cucuzza, carrot, pumpkin"
acini di pepe,"seme di melone, orzo, soup pasta"
agar,gelatin
agar noodles,bean threads
agnolotti,"ravioli, cappellietti, tortelli"
all-purpose flour,"whole wheat flour, self-rising flour, pastry flour, cake flour, barley flour, buckwheat flour, oat flour, brown rice flour, corn flour, millet flour, potato flour, soy flour, non-waxy rice flour, wheat germ, amaranth flour, spelt flour, kamut flour, matzo meal, potato starch, bread flour, whole weat flour, light rye flour, medium rye flour, dark rye flour, triticale flour, barley flour, brown rice flour, buckwheat flour, potato flour, soya flour, quinoa flour, kamut flour, water chestnut flour, corn starch, tapioca starch."
almond flour,almond meal
almond meal,"blanched almonds, almond flour"
alphabets,soup pasta
amaranth flour,"wheat flour, all-purpose flour"
amorini,soup pasta
anelli,"tubetti, ditali, ditalini, soup pasta"
angel hair pasta,"capellini, vermicelli, taglierini, spaghetti"
arrowroot starch,"tapioca starch, instant clearjel, corn starch, kudzu powder, potato starch, flour, rice starch"
arrowroot vermicelli,bean threads
asian noodles,pasta
asian rice noodles,"quinoa pasta, rice pasta"
asian wheat noodles,"pasta, rice noodles"
aspic powder,gelatin
astri,soup pasta
avena,soup pasta
bajri flour,sorghum flour
bamboo leaves,lotus leaves
banana leaves,"aluminum foil, parchment paper, corn husks, hoja santa leaves, ti leaves"
barley flour,"wheat flour, rice flour, all-purpose flour"
barquette,"patty shell, croustade, tart shell"
bavettine,"linguine, spaghetti, fettuccine, pappardelle"
bean curd skin noodles,yuba
bean threads,"harusame, rice vermicelli, shirataki, rice sticks"
beurre manie,"roux, tapioca starch"
bigoli,"spaghetti, vermicelli"
bread dough,baked pizza crust
bread flour,all-purpose flour
buckwheat flour,"nonwheat flour, buckwheat groats, all-purpose flour"
cake flour,pastry flour
calamaretti,"paccheri, rigatoni, elicoidali, tortiglioni"
cannelloni,"manicotti, tufoli, egg roll wrappers"
canneroni,ditali
cannolicchi,"penne, ziti, canneroni"
capellini,"angel hair pasta, vermicelli, talierini, spahettini, spaghetti"
cappelletti,"agnolotti, tortellini, ravioli"
carrageen,"agar, gelatin"
casarecce,"fusilli, strozzapreti, gigli, farfalle"
cashew flour,nut flour
cassava flour,"gari, breadcrumbs, all-purpose flour"
cavatappi,"fusilli, farfalle, cavatelli, orecchiette, elbow macaroni"
cavatelli,"orecchiette, gnocchetti, rotini, malloreddus"
chestnut flour,"almond flour, hazelnut flour"
chickpea flour,"chickpea, yellow pea, all-purpose flour"
chinese egg noodles,"egg roll wrappers, chinese wheat noodles, crispy chow mein noodles, fettuccine, linguine, spaghetti, rice"
chinese noodles,"fettuccine, lo mein noodles, chinese egg noodles"
chinese wheat noodles,"chinese egg noodles, japanese noodles, crispy chow mein noodles, pasta rods, pasta ribbons, wonton noodles, ramen, rice"
chitarra,"spaghetti, linguine, spaghettini, fettuccine"
chow mein noodles,"hong kong noodles, chinese egg noodles, chinese wheat noodles"
chuka soba noodles,"ramen, soba, saimin"
ciriole,"stringozzi, tagliatelle, linguine"
clear jel,"instant clearjel, tapioca starch, arrowroot starch, corn starch"
